,vid-vid mean similarity,text-vid mean similarity
awards ceremony,0.65498394,0.23704416
babysitting,0.6140349,0.2131797
basketball game,0.7224913,0.22908247
beauty salon service,0.7042678,0.24302483
bike lesson,0.6387908,0.26185215
car racing pitstop,0.64206237,0.27707154
dining,0.6178649,0.2258378
drive-thru ordering,0.6425307,0.26039037
field sobriety test,0.5997559,0.25263727
firefighting,0.6538438,0.25336954
frisbee game,0.68325233,0.2493255
haircut,0.6942288,0.23787038
marriage proposal,0.59703666,0.24248362
medical injection,0.5916563,0.25362235
physical therapy,0.6031788,0.2349948
piano lesson,0.70832306,0.26502442
reception service,0.62203777,0.24101838
security screening,0.5871914,0.23951437
soccer game,0.69825417,0.21948507
table tennis game,0.7060082,0.30332157
