vlm_class,vlm_params,dataset,R@1 (of 82),R@5 (of 82),R@10 (of 82),R@20 (of 82),R@50 (of 82),Mean R,Med R,Ranked Text Indices,Vid-Text Choice Ranks,Correct Vid-Text Pair Ranks,Vid-Text Pairs (Easy->Hard)
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 1, 'sample_strat': 'center'}",500p,1,8,13,25,51,37.707317073170735,43.0,"[[57 41 68 ... 17 21 46]
 [57 60 68 ... 21 17 46]
 [68 57 60 ... 17 21 46]
 ...
 [57 68 60 ... 12 46 17]
 [57 60 68 ... 46 12 17]
 [57 11 60 ... 54 12 17]]","[[ 6 37 18 ... 44 22 31]
 [ 7 42 18 ... 45 26 25]
 [ 5 45 10 ... 58 41 38]
 ...
 [ 4 42  7 ... 50 34 41]
 [ 4 45 10 ... 54 42 47]
 [ 4 43 14 ... 44 28 32]]","[ 6 42 10 13  6 50 53 58 46 30 24  4 74 29 18 13 42 77 41 11 60 80 23  9
  8 49 52 17 13 42 50 45 55 61 26 20 55 58 16  9 35  3 54 61 61 47 79 48
 57 72 53 44 23 56 65 56 63  2  2 18  0 58  2 15 50 10 53 44  2 18 54 69
 33 41 56  3 28 34 22 50 42 32]","[60 58 62 68 57 41 75 11  4  0 24 23 39  2 65 19 28  3 15 63 38 27 59 14
 69 35 78 22 52 10 34 76 13  9 81 72 77 40 73 18 80 29 16  1 67 51 31  8
 45 47 25 30  5 64 79 26  6 66 50 70 42 32 36 53 74 55 48 61  7 37 20 43
 33 44 56 54 71 49 12 17 46 21]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 1, 'sample_strat': 'start'}",500p,2,5,11,18,48,42.15853658536585,44.0,"[[60 68 57 ... 17 21 46]
 [57 68 60 ... 55 46 21]
 [68 60 57 ... 17 21 46]
 ...
 [68 57 60 ... 55 54 17]
 [57 11 60 ... 46 12 17]
 [60 68 57 ... 46 54 17]]","[[ 8 46 14 ... 51 38 41]
 [ 6 36 18 ... 50 26 27]
 [ 7 41 14 ... 59 40 43]
 ...
 [ 6 32 20 ... 41 35 36]
 [ 5 45 10 ... 49 31 46]
 [ 4 35 21 ... 39 33 36]]","[ 8 36 14 33  7 53 57 57 58 36 31  5 74 61 33 12 33 81 37 14 62 78 22  9
 10 42 52 16 72 59 37 54 54 61  8 49 47 70 20 30 35  3 51 76 35 59 80 49
 57 76 65 44 24 57 66 64 64  0 11 42  0 47  5 23 52 10 69 57  1 38 56 69
 49 49 76  3 33 53 27 41 31 36]","[57 60 68 41 75 62 11  4  0 34 23 65 24 58 15  2 19 27 38 22 63 52 78 39
 80 10 16 14  3 76 44 40 81  1  9 30 18 69 79 59 25 51 36 61 35 73 72 47
 42 26 64  5 77 31 32 70  7 53  6 48 67  8 29 45 33 13 20 55 56 50 54 71
 66 37 28 12 43 74 49 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 1, 'sample_strat': 'spread'}",500p,2,5,11,18,48,42.15853658536585,44.0,"[[60 68 57 ... 17 21 46]
 [57 68 60 ... 55 46 21]
 [68 60 57 ... 17 21 46]
 ...
 [68 57 60 ... 55 54 17]
 [57 11 60 ... 46 12 17]
 [60 68 57 ... 46 54 17]]","[[ 8 46 14 ... 51 38 41]
 [ 6 36 18 ... 50 26 27]
 [ 7 41 14 ... 59 40 43]
 ...
 [ 6 32 20 ... 41 35 36]
 [ 5 45 10 ... 49 31 46]
 [ 4 35 21 ... 39 33 36]]","[ 8 36 14 33  7 53 57 57 58 36 31  5 74 61 33 12 33 81 37 14 62 78 22  9
 10 42 52 16 72 59 37 54 54 61  8 49 47 70 20 30 35  3 51 76 35 59 80 49
 57 76 65 44 24 57 66 64 64  0 11 42  0 47  5 23 52 10 69 57  1 38 56 69
 49 49 76  3 33 53 27 41 31 36]","[57 60 68 41 75 62 11  4  0 34 23 65 24 58 15  2 19 27 38 22 63 52 78 39
 80 10 16 14  3 76 44 40 81  1  9 30 18 69 79 59 25 51 36 61 35 73 72 47
 42 26 64  5 77 31 32 70  7 53  6 48 67  8 29 45 33 13 20 55 56 50 54 71
 66 37 28 12 43 74 49 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 2, 'sample_strat': 'center'}",500p,2,8,14,24,55,37.63414634146341,40.0,"[[57 60 68 ... 21 17 46]
 [57 60 68 ... 21 17 46]
 [68 57 60 ... 21 17 46]
 ...
 [57 68 60 ... 46 12 17]
 [57 68 60 ... 46 12 17]
 [57 11  0 ... 55 12 17]]","[[ 4 45 16 ... 53 40 36]
 [ 8 41 17 ... 44 25 33]
 [ 5 46 11 ... 55 43 38]
 ...
 [ 4 39 11 ... 44 30 34]
 [ 4 33 11 ... 50 34 39]
 [ 2 35 15 ... 34 26 25]]","[ 4 41 11 16  8 45 58 59 37 38 28  4 75 41 11 17 44 79 34 12 49 78 24 12
  4 43 52 16 58 37 58 34 57 62 12 28 46 52  6  8 33  5 51 67 63 52 78 54
 56 75 47 44 41 55 71 51 62  0  3 17  0 55  2 14 50  7 38 41  4 33 52 69
 30 40 49  6 32 28 28 44 34 25]","[57 60 62 58 11  0 24 68 41 38 75 65  4 39 14  2 23 19 34 63  3 27 59 15
 22 81 10 78 77 35 72 76 69 40 31 18 80 29  8 66  9 73 67  1 52 13 25 79
 16 51  5 36 50 20 74 64 55 42 70 26 45 37 47 53 61 48 32 28 30  6  7 33
 56 44 43 71 54 12 49 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 2, 'sample_strat': 'start'}",500p,2,7,13,18,46,42.073170731707314,43.5,"[[57 60 68 ... 17 21 46]
 [57 68 60 ... 17 21 46]
 [57 68 60 ... 21 17 46]
 ...
 [57 60 68 ... 46 54 17]
 [57 60 68 ... 46 12 17]
 [60 57 68 ... 54 55 17]]","[[ 3 43 16 ... 47 34 39]
 [ 3 40 17 ... 54 39 33]
 [ 5 40 17 ... 54 35 39]
 ...
 [ 6 32 18 ... 39 34 35]
 [ 5 36 12 ... 49 34 40]
 [ 4 27 28 ... 36 31 29]]","[ 3 40 17 34  6 60 60 56 60 38 27  4 74 66 27 11 36 81 34 16 62 78 23 16
  8 43 52 14 72 41 44 54 53 60  9 41 34 69  9 30 33  8 50 76 39 55 80 52
 57 74 63 44 32 56 62 63 64  0  7 43  0 51  3 28 50 22 69 55  1 35 55 70
 52 53 74  3 42 48 35 39 34 29]","[57 60 68  0 75 62 11  4 58 41 24 38 34 15 27 23 19  2 65 22 10 14 63 81
 39 52 40 18 80  3 36 78 69 16  9 44 79  1 29 35 76 59 25 30 51 77 64 42
 61 47 72 26 32 73 31 67 45 70  7 53 48  5  6  8 33 54 20 55 50 56 13 66
 37 71 28 49 74 12 43 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 2, 'sample_strat': 'spread'}",500p,2,6,13,22,50,40.426829268292686,43.5,"[[57 60 68 ... 21 17 46]
 [57 68 60 ... 17 21 46]
 [68 57 60 ... 21 46 17]
 ...
 [57 60 68 ... 46 54 17]
 [57 11 60 ... 46 12 17]
 [60 57 68 ... 46 54 17]]","[[ 4 45 14 ... 53 40 37]
 [ 5 37 19 ... 45 25 30]
 [ 4 43 11 ... 56 44 38]
 ...
 [ 6 33 16 ... 41 35 34]
 [ 4 40 11 ... 47 30 38]
 [ 4 34 17 ... 38 31 35]]","[ 4 37 11 27  9 50 63 59 55 35 27  5 76 59 16 13 37 81 34 11 59 78 23 13
  7 42 52 14 60 44 41 46 58 60 11 46 42 67  9 19 33  6 52 76 50 55 80 52
 56 74 57 44 34 56 65 56 64  0  5 17  0 49  3 25 49  9 59 52  2 38 56 70
 46 43 71  3 40 46 34 41 30 35]","[57 60 68 75 62  0 11 58 41 24 38 65  4 34  2 19 15 23 27 14 59 39 22 63
 10  3 80 40 18 78 52 81  9 16  1 69 76 30 79 25 36 73 29 51 77 35 72 31
 64 61 44  5 26 47 42 67 45  8 55 70 48 53 50 32 13 66  7 20 28 33  6 56
 54 37 71 74 49 12 43 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 3, 'sample_strat': 'center'}",500p,1,6,12,22,54,37.69512195121951,41.0,"[[57 68 60 ... 21 17 46]
 [57 60  4 ... 21 46 17]
 [57 68 60 ... 21 46 17]
 ...
 [57 68 60 ... 46 12 17]
 [57 68 60 ... 46 12 17]
 [57 11 60 ... 12 55 17]]","[[ 4 40 16 ... 53 37 34]
 [ 4 43 16 ... 42 23 27]
 [ 4 50 11 ... 53 44 38]
 ...
 [ 4 36 10 ... 41 30 31]
 [ 5 34 11 ... 49 35 36]
 [ 3 31 18 ... 33 26 25]]","[ 4 43 11 16  9 56 58 56 36 35 26  5 76 41 16 14 45 81 31 11 57 78 24 14
  8 41 52 16 46 36 62 44 52 62 20 27 56 52  5 13 33  5 52 58 61 53 77 54
 54 71 46 44 39 56 59 56 63  2  2 21  0 50  2 12 38 15 42 48  2 30 52 70
 28 43 46  5 23 29 32 41 35 25]","[60 62 57 58 68  0 41 38 11 75 24  4  2 19 63 39 15 23 65 27  3 14 34 59
 76 22 81 10 35 72 77 69 18 78 40  9 80 29  8 64 52 79 13 25 66 73  1 31
 51 16 28 50 74 67 61 32 37 26 42 70 45 48 47  5 53 36  7 55 20 43  6 54
 44 33 30 56 71 49 12 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 3, 'sample_strat': 'start'}",500p,2,6,12,18,48,41.24390243902439,43.0,"[[57 60 68 ... 21 17 46]
 [57 68 60 ... 21 17 46]
 [57 68 60 ... 21 17 46]
 ...
 [57 60 68 ... 55 54 17]
 [57 68 60 ... 46 12 17]
 [57 60 68 ... 54 55 17]]","[[ 4 47 16 ... 48 37 35]
 [ 3 42 15 ... 50 38 33]
 [ 5 41 15 ... 50 37 36]
 ...
 [ 4 31 18 ... 41 36 34]
 [ 5 37 13 ... 47 34 38]
 [ 4 28 26 ... 36 31 29]]","[ 4 42 15 33  7 75 58 58 58 35 27  5 64 62 23 11 38 81 34 15 63 78 22 19
  8 42 52 12 71 40 37 51 51 61 15 46 32 69  6 29 33  9 52 75 48 54 79 53
 57 73 52 44 35 56 59 62 63  0  5 22  0 51  4 28 49 23 67 52  1 36 54 71
 45 51 70  3 28 46 37 41 34 29]","[57 60 68 75  0 62 58 11 38  4 24 41 15 27  2 19 34 23 22 59 14 65 10 63
 76 39 81 36 40  3 18 80  9 52 69 30 78 16 29 79  1 25 51 72 77 35 44 64
 61 31 32 73 67 26 42 50 47 45 70 53 48  8  7  6 54 33 55 13 20 56 12 66
 37 74 71 28 49 43  5 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 3, 'sample_strat': 'spread'}",500p,2,6,13,21,47,40.24390243902439,42.5,"[[57 60 68 ... 21 17 46]
 [57 60 68 ... 21 46 17]
 [68 57 39 ... 21 46 17]
 ...
 [57 60 68 ... 46 54 17]
 [57 68 60 ... 46 12 17]
 [57 60 68 ... 54 55 17]]","[[ 4 42 16 ... 53 39 37]
 [ 3 39 17 ... 45 30 27]
 [ 4 45 12 ... 56 44 38]
 ...
 [ 5 32 15 ... 39 33 34]
 [ 5 34 13 ... 46 35 36]
 [ 4 35 16 ... 36 30 31]]","[ 4 39 12 26  9 60 63 60 55 39 26  5 75 60 24 13 39 81 32 11 57 78 23 12
  8 43 52 14 70 41 54 45 52 56  8 40 39 65  8 20 33  6 52 71 57 57 80 53
 56 75 53 44 52 56 58 61 64  0  6 15  0 55  3 13 41 18 65 52  1 38 50 60
 46 42 63  3 23 44 29 39 35 31]","[60 57 68 62 75  0 11 41 58 38 24 34  4 19 23  2 63 15 27 59 65 39 76 22
 14 10  3 78 81 18 40 80 69 79  1  9 36 16 35 64 29 73 25 77 51 31 72 70
 26 42 67 32 52 50 47 30  8 61 33 48 53 20 44 45 54 71 13  5  7 55 74  6
 56 66 37 28 43 49 12 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 4, 'sample_strat': 'center'}",500p,1,6,14,24,53,38.30487804878049,41.5,"[[57 60 68 ... 21 46 17]
 [57 60 68 ... 21 46 17]
 [57 68 39 ... 21 46 17]
 ...
 [57 11 68 ... 55 12 17]
 [57 60 68 ... 46 12 17]
 [57 60 39 ... 54 55 17]]","[[ 4 45 16 ... 53 41 34]
 [ 4 43 15 ... 44 31 34]
 [ 4 47 11 ... 56 43 37]
 ...
 [ 5 36 11 ... 39 30 32]
 [ 4 36 11 ... 47 35 34]
 [ 5 33 23 ... 36 31 26]]","[ 4 43 11 17  9 60 55 59 43 40 27  6 76 45 12 14 42 80 32 12 52 78 24 15
  8 41 52 16 62 29 58 40 51 60  9 27 44 59  6 14 33  9 51 69 70 56 78 57
 55 74 43 44 46 55 59 56 64  1  4 13  0 53  3 18 40  9 55 48  4 29 49 69
 31 44 51  5 24 29 29 39 35 26]","[60 57 62 58 68  0 75 38 11 24  4 65 41 34  2 14 19 59 39 15 23 27  3 63
 76 22 81 35 10 29 78 77 69 72 18 40 80 79 31 64  9 25 16  1 50  8 73 36
 51 13 52 67 70 42 32 74 26 20 61 53  6 48 66 55 45 47 30 54 37  7 33  5
 28 56 71 43 44 49 12 21 46 17]"
