,vid-vid mean similarity,text-vid mean similarity
awards ceremony,0.6829788,0.45262197
babysitting,0.54835826,0.4265453
basketball game,0.89165765,0.6464578
beauty salon service,0.6307798,0.32582393
bike lesson,0.65817887,0.47370502
car racing pitstop,0.73647,0.5074286
dining,0.60087764,0.32114854
drive-thru ordering,0.67127746,0.40798324
field sobriety test,0.58751017,0.2153769
firefighting,0.63720244,0.5078515
frisbee game,0.80114466,0.45895326
haircut,0.65169454,0.49317548
marriage proposal,0.5101891,0.27831239
medical injection,0.59314907,0.35417044
physical therapy,0.66195893,0.40979275
piano lesson,0.7741583,0.5607618
reception service,0.6754343,0.39867255
security screening,0.57340723,0.31152987
soccer game,0.84701973,0.57237923
table tennis game,0.84224313,0.6592826
