,vid-vid mean similarity,text-vid mean similarity
one person is on their knees while proposing,56.709957,5.3236294
one person is putting a ring on their partner,57.4119,6.145165
players are trying to catch a frisbee,70.46,7.4964514
the adult is chasing after the child on the bike,62.128723,8.15417
the adult is comforting the child,58.1048,6.445047
the adult is explaining to the child how to ride a bike,57.40249,6.147191
the adult is feeding the child,57.81484,6.157244
the adult is holding the child on the bike,62.636166,8.169376
the adult is playing with the child,56.715767,5.8749933
the adult is pushing the stroller,59.113777,6.8054085
the adult is wrapping the child or changing the child's diaper or clothes,60.502903,5.4828696
the audience and host are cheering the award recipient on stage,63.14183,7.6015134
the award winner is delivering a speech on stage,59.870346,6.0350595
the barber is applying shampoo,64.442444,6.169406
the barber is combing hair,60.329838,6.3815084
the barber is cutting hair with a razor,58.286186,6.173922
the barber is cutting hair with scissors,59.47897,6.8671885
the barber is drying hair,59.403355,5.6651483
the barber is massaging the customer's face or applying products,59.834023,6.421076
the barber is shaving a beard with a razor,58.40985,6.3368087
the barber is shaving a beard with scissors,60.616604,7.756617
the barber is washing the customer's hair,60.544777,5.7446094
the basketball player is dribbling or shooting a basket,69.55071,8.1705065
the basketball player is shooting a free throw,70.03128,7.7721314
the basketball players are in a timeout,66.86769,7.755019
the caregiver is helping the patient into a seat or a bed,59.741943,6.5012026
the caregiver is helping the patient out of the bed or chair,57.740643,7.2106533
the caregiver is helping the patient walk down the stairs,58.203407,7.257672
the child falls off the bike,59.809013,6.1799736
the customers are raising their glasses,57.10582,5.7206607
the driver is being asked to look in a specific direction,56.26777,5.1137104
the driver is ordering food through a speaker,59.572666,6.2375517
the driver is paying for food,59.047024,6.155173
the driver is receiving food and drink,60.42887,6.5624733
the driver is speaking with the police officer,55.288918,5.7566648
the driver is talking to people outside the car,59.365547,6.028988
the firefighters are doing other work,58.267887,7.297082
the firefighters are exiting the firetruck towards the scene,60.10107,7.5652246
the firefighters are extinguishing fire,59.05673,7.1020617
the firefighters are talking,57.065525,6.7687984
the goalkeeper is saving a shot,69.67132,7.7057147
the guests are departing from the front desk,57.607136,6.3041544
the guests are walking to the front desk,58.389183,6.300723
the health worker is injecting the patient with the syringe,56.30603,6.690266
the health worker is preparing equipment for the injection,54.71024,5.047588
the health worker is stopping the patient's bleeding,56.318493,5.3214974
the health worker is talking to the patient,57.165577,5.2921486
the health worker is using an alcohol swab on the patient's skin before the injection,57.6171,6.223314
the host is giving the award winner an award,62.373135,6.6697855
the host is introducing the award winner,61.38384,6.23205
the massage therapist is applying nail polish to the customer's nails,59.48929,6.06453
the massage therapist is cleaning the customer's nails,60.558792,6.820264
the massage therapist is cutting the customer's nails,60.46429,6.383053
the massage therapist is filing the customer's nails,58.879223,6.5678654
the massage therapist is massaging or applying oils or creams to the customer's hands or feet,61.13654,7.1356635
the passengers are placing their bags on the security inspection belt,59.597237,5.750216
the passengers are walking through the security gate,58.59663,6.556732
the patient is walking with physical therapy parallel bars,58.740887,7.1541743
the person is being asked to blow into an alcohol tester,56.573128,5.3347945
the person is being asked to stand on one leg by the police,58.989975,6.801112
the person is being asked to walk straight by the police,56.709286,6.8247375
the player is throwing a frisbee,71.81089,7.612008
the players are passing the basketball,69.91212,7.48798
the players are passing the soccer ball,70.037735,7.383035
the receptionist is exchanging items with the guests,57.933876,5.63266
the receptionist is talking to guests,56.535538,5.5489855
the repairmen are fixing the car's tires,59.080536,5.162948
the repairmen are leaving while the car is departing,60.7483,5.722361
the repairmen are watching the car driving towards the repair station,60.614807,5.413882
the security officer is inspecting a bag,56.470913,5.4686294
the security officer is inspecting a passenger,56.486008,4.9851418
the soccer player is dribbling towards the goal,69.26459,7.8647094
the soccer players are celebrating,66.04302,7.3326674
the student is playing the piano while the teacher watches,57.434467,6.6064143
the table tennis player is hitting the ball into the net which ends the point,65.46002,7.0433965
the table tennis player is serving the ball,65.7826,7.2340117
the table tennis players are not playing the game right now,60.52041,6.74095
the table tennis players are rallying with each other,63.313084,7.4446473
the teacher and student are playing the piano together,56.492752,6.850876
the teacher is playing the piano,56.339233,6.2968464
the teacher is verbally instructing the student,56.414246,4.323382
the tennis table player is failing to return the ball,65.37481,7.008944
the waiter is cleaning the table,59.739235,6.780535
the waiter is is talking to the customer or helping them into their seat,57.234245,5.45618
the waiter is placing utensils on the table,59.7405,6.8903303
the waiters are placing food on the table,60.371048,6.911233
the waiters are pouring or presenting drinks for the customers,57.636963,6.0544605
the waiters are taking orders from the customers,59.466938,5.906005
two people are hugging,57.516975,5.54563
two people are kissing,58.53802,5.0712924
two people are talking,56.30297,5.10844
